"ID1","ID2","ID1_Inf_Sex","ID2_Inf_Sex","Inf_Sex_R2X","Inf_Sex_R2X_PLSDA","Inf_Sex_R2Y","Inf_Sex_Q2","FVM_R2X","FVM_R2X_PLSDA","FVM_R2Y","FVM_Q2","IVO_R2X","IVO_R2X_PLSDA","IVO_R2Y","IVO_Q2"
11,10,"M","F",0.525,0.254,0.87,0.648,0.525,0.176,0.794,-0.151,0.525,0.221,0.772,0.0131
12,10,"M","F",0.538,0.289,0.933,0.85,0.538,0.167,0.795,0.0881,0.538,0.237,0.764,0.331
13,10,"F","F",0.519,0,0,0,0.519,0.166,0.864,0.183,0.519,0.269,0.694,0.281
14,10,"F","F",0.538,0,0,0,0.538,0.309,0.656,0.243,0.538,0.297,0.645,0.199
15,10,"F","F",0.545,0,0,0,0.545,0.188,0.789,-0.228,0.545,0.223,0.772,0.299
16,10,"F","F",0.501,0,0,0,0.501,0.217,0.768,0.0668,0.501,0.232,0.767,0.391
17,10,"F","F",0.55,0,0,0,0.55,0.164,0.821,-0.0581,0.55,0.262,0.735,0.409
18,10,"M","F",0.527,0.272,0.907,0.67,0.527,0.196,0.762,-0.131,0.527,0.171,0.76,-0.408
19,10,"M","F",0.515,0.257,0.943,0.721,0.515,0.16,0.813,-0.188,0.515,0.228,0.798,0.323
2,10,"F","F",0.535,0,0,0,0.535,0.31,0.709,0.37,0.535,0.215,0.762,-0.248
20,10,"M","F",0.521,0.27,0.945,0.846,0.521,0.217,0.794,-0.0488,0.521,0.224,0.828,0.423
21,10,"F","F",0.508,0,0,0,0.508,0.213,0.755,-0.207,0.508,0.245,0.821,0.388
3,10,"M","F",0.549,0.233,0.901,0.646,0.549,0.206,0.776,0.209,0.549,0.212,0.737,0.0683
4,10,"M","F",0.559,0.352,0.815,0.692,0.559,0.31,0.667,0.0337,0.559,0.324,0.629,0.223
5,10,"M","F",0.528,0.414,0.822,0.715,0.528,0.398,0.565,0.142,0.528,0.392,0.585,0.318
6,10,"M","F",0.51,0.263,0.907,0.776,0.51,0.199,0.804,0.165,0.51,0.212,0.77,0.167
7,10,"F","F",0.575,0,0,0,0.575,0.398,0.572,0.0655,0.575,0.394,0.532,0.2
8,10,"F","F",0.503,0,0,0,0.503,0.164,0.857,0.226,0.503,0.154,0.868,0.127
9,10,"M","F",0.549,0.311,0.775,0.555,0.549,0.29,0.719,0.254,0.549,0.296,0.659,0.0851
12,11,"M","M",0.518,0,0,0,0.518,0.178,0.788,-0.195,0.518,0.173,0.806,-0.257
13,11,"F","M",0.535,0.225,0.954,0.825,0.535,0.173,0.805,-0.25,0.535,0.178,0.782,-0.115
14,11,"F","M",0.518,0.359,0.89,0.825,0.518,0.301,0.718,0.403,0.518,0.302,0.669,0.0813
15,11,"F","M",0.525,0.283,0.96,0.903,0.525,0.146,0.841,-0.012,0.525,0.211,0.767,-0.191
16,11,"F","M",0.529,0.288,0.951,0.887,0.529,0.162,0.811,0.00717,0.529,0.223,0.796,0.0558
17,11,"F","M",0.516,0.211,0.967,0.836,0.516,0.18,0.802,-0.127,0.516,0.188,0.788,-0.291
18,11,"M","M",0.522,0,0,0,0.522,0.234,0.683,-0.041,0.522,0.234,0.659,-0.161
19,11,"M","M",0.537,0,0,0,0.537,0.183,0.766,-0.0915,0.537,0.164,0.802,-0.378
2,11,"F","M",0.556,0.39,0.875,0.787,0.556,0.336,0.719,0.267,0.556,0.247,0.737,-0.968
20,11,"M","M",0.536,0,0,0,0.536,0.187,0.77,0.162,0.536,0.15,0.845,0.0489
21,11,"F","M",0.525,0.216,0.955,0.809,0.525,0.184,0.779,0.0964,0.525,0.188,0.777,-0.193
3,11,"M","M",0.503,0,0,0,0.503,0.252,0.726,0.0182,0.503,0.253,0.66,-0.226
4,11,"M","M",0.515,0,0,0,0.515,0.359,0.592,-0.00887,0.515,0.341,0.66,0.00815
5,11,"M","M",0.572,0,0,0,0.572,0.427,0.516,0.022,0.572,0.41,0.554,0.161
6,11,"M","M",0.55,0,0,0,0.55,0.23,0.757,0.335,0.55,0.201,0.771,-0.0027
7,11,"F","M",0.546,0.411,0.792,0.615,0.546,0.432,0.561,0.173,0.546,0.436,0.555,0.318
8,11,"F","M",0.501,0.235,0.91,0.688,0.501,0.208,0.775,-0.0205,0.501,0.194,0.759,-0.409
9,11,"M","M",0.54,0,0,0,0.54,0.322,0.703,0.356,0.54,0.329,0.7,0.273
13,12,"F","M",0.527,0.189,0.967,0.819,0.527,0.167,0.878,0.0659,0.527,0.107,0.921,-0.655
14,12,"F","M",0.538,0.358,0.904,0.842,0.538,0.306,0.855,0.46,0.538,0.31,0.817,0.448
